,tweet_id,follower_count,favourites_of_user_count,retweet_count,favourite_of_post_count
1610,684097758874210310,8709218,144674,1436,4150
1611,670444955656130560,8709246,144674,1914,6541
1612,810896069567610880,8709207,144674,1825,9280
1613,756303284449767430,8709209,144674,1113,4004
1614,676219687039057920,8709245,144674,30634,74993
1615,672245253877968896,8709247,144674,152,669
1616,751598357617971201,8709212,144674,3077,8034
1617,837482249356513284,8709205,144674,445,3874
1618,690348396616552449,8709217,144674,519,1522
1619,697990423684476929,8709217,144674,1304,3315
1620,689275259254616065,8709217,144674,243,1159
1621,668484198282485761,8709247,144674,228,414
1622,687127927494963200,8709217,144674,2289,5484
1623,822872901745569793,8709205,144674,44329,134543
1624,820749716845686786,8709205,144674,10154,32256
1625,672984142909456390,8709246,144674,527,1228
1626,673148804208660480,8709246,144674,608,1653
1627,879376492567855104,8709204,144674,2889,15914
1628,845098359547420673,8709205,144674,7637,23808
1629,835172783151792128,8709205,144674,5829,26467
1630,701981390485725185,8709217,144674,996,3476
1631,674670581682434048,8709246,144674,634,1575
1632,685198997565345792,8709218,144674,670,2363
1633,719339463458033665,8709216,144674,1237,4443
1634,678991772295516161,8709245,144674,1164,2314
1635,817827839487737858,8709206,144674,27811,53030
1636,823333489516937216,8709205,144674,25,714
1637,821149554670182400,8709205,144674,2047,8851
1638,666063827256086533,8709248,144674,199,449
1639,784183165795655680,8709208,144674,8304,20661
1640,885528943205470208,8709204,144674,5885,34017
1641,761004547850530816,8709208,144674,3538,11531
1642,821886076407029760,8709205,144674,2367,11569
1643,670427002554466305,8709246,144674,154,512
1644,710269109699739648,8709216,144674,1127,2407
1645,728046963732717569,8709216,144674,1201,4330
1646,701805642395348998,8709217,144674,1686,3442
1647,678424312106393600,8709245,144674,2535,5477
1648,782305867769217024,8709209,144674,5736,17104
1649,704819833553219584,8709217,144674,996,2662
1650,874057562936811520,8709204,144674,3685,21564
1651,670442337873600512,8709246,144674,192,630
1652,669371483794317312,8709247,144674,172,487
1653,823939628516474880,8709205,144674,2764,10836
1654,724004602748780546,8709216,144674,1561,4194
1655,854365224396361728,8709205,144674,4580,18558
1656,755955933503782912,8709209,144674,2933,7446
1657,666102155909144576,8709248,144674,11,72
1658,670037189829525505,8709247,144674,262,577
1659,789628658055020548,8709206,144674,1832,7725
1660,832397543355072512,8709205,144674,2247,12110
1661,692017291282812928,8709217,144674,963,2899
1662,676121918416756736,8709246,144674,1148,2145
1663,666029285002620928,8709248,144674,42,121
1664,824796380199809024,8709205,144674,5612,16707
1665,717841801130979328,8709216,144674,605,2471
1666,668625577880875008,8709247,144674,125,375
1667,671186162933985280,8709247,144674,204,717
1668,799422933579902976,8709206,144674,1992,8303
1669,666983947667116034,8709248,144674,936,2451
1670,728387165835677696,8709216,144674,964,3711
1671,791312159183634433,8709206,144674,2621,9058
1672,813066809284972545,8709207,144674,2013,8184
1673,671882082306625538,8709247,144674,1346,3380
1674,871515927908634625,8709204,144674,3241,19232
1675,667044094246576128,8709248,144674,47,177
1676,680130881361686529,8709244,144674,943,2303
1677,880095782870896641,8709204,144674,4002,26147
1678,697255105972801536,8709217,144674,1171,3053
1679,670691627984359425,8709246,144674,234,579
1680,717790033953034240,8709216,144674,1120,2886
1681,700796979434098688,8709217,144674,947,2455
1682,726224900189511680,8709216,144674,1151,4435
1683,671115716440031232,8709246,144674,752,1334
1684,832040443403784192,8709205,144674,9774,32040
1685,886680336477933568,8709202,144674,4112,21237
1686,816697700272001025,8709207,144674,2258,10041
1687,796031486298386433,8709206,144674,3840,11147
1688,835309094223372289,8709205,144674,21213,37661
1689,789280767834746880,8709206,144674,5111,13384
1690,850753642995093505,8709205,144674,9026,30599
1691,677331501395156992,8709245,144674,234,1082
1692,823581115634085888,8709205,144674,2685,13289
1693,754856583969079297,8709209,144674,2565,7006
1694,670086499208155136,8709246,144674,244,681
1695,704847917308362754,8709217,144674,1537,5109
1696,673956914389192708,8709246,144674,929,1911
1697,680801747103793152,8709244,144674,815,2389
1698,670417414769758208,8709246,144674,309,555
1699,699801817392291840,8709217,144674,958,3084
1700,792913359805018113,8709206,144674,4105,14773
1701,835297930240217089,8709205,144674,3049,16653
1702,770772759874076672,8709208,144674,1447,5293
1703,676533798876651520,8709245,144674,548,1854
1704,684902183876321280,8709218,144674,534,1896
1705,791821351946420224,8709206,144674,21782,35295
1706,682638830361513985,8709243,144674,604,2087
1707,847157206088847362,8709205,144674,5822,19837
1708,680583894916304897,8709244,144674,1335,3650
1709,687317306314240000,8709217,144674,9225,20285
1710,710296729921429505,8709216,144674,744,2385
1711,794355576146903043,8709206,144674,10658,28185
1712,779124354206535695,8709209,144674,18834,31730
1713,670807719151067136,8709246,144674,477,1130
1714,847842811428974592,8709205,144674,1323,5421
1715,838916489579200512,8709205,144674,35,721
1716,877201837425926144,8709204,144674,5163,25690
1717,683498322573824003,8709219,144674,967,3196
1718,667728196545200128,8709247,144674,143,367
1719,829141528400556032,8709205,144674,7492,24831
1720,855245323840757760,8709205,144674,5804,24572
1721,858860390427611136,8709205,144674,7813,27675
1722,735274964362878976,8709215,144674,5064,13078
1723,728986383096946689,8709216,144674,824,3156
1724,706169069255446529,8709217,144674,2690,2742
1725,667119796878725120,8709248,144674,123,319
1726,738156290900254721,8709215,144674,650,2522
1727,759923798737051648,8709208,144674,5754,14924
1728,666454714377183233,8709248,144674,202,495
1729,859924526012018688,8709205,144674,3927,18980
1730,674410619106390016,8709246,144674,448,1173
1731,668655139528511488,8709247,144674,212,512
1732,851224888060895234,8709205,144674,5651,20508
1733,701545186879471618,8709217,144674,612,2675
1734,674014384960745472,8709246,144674,619,1526
1735,682259524040966145,8709243,144674,1212,4180
1736,835574547218894849,8709205,144674,3655,17986
1737,864279568663928832,8709204,144674,2861,14049
1738,763167063695355904,8709208,144674,3080,7340
1739,746790600704425984,8709212,144674,1615,4927
1740,888078434458587136,8709203,144674,3187,20589
1741,798209839306514432,8709206,144674,2638,10731
1742,847606175596138505,8709205,144674,3405,18716
1743,668979806671884288,8709246,144674,336,772
1744,707983188426153984,8709216,144674,2,51
1745,857746408056729600,8709205,144674,10242,33365
1746,869596645499047938,8709204,144674,2933,15289
1747,707776935007539200,8709216,144674,958,3298
1748,669353438988365824,8709247,144674,254,616
1749,679511351870550016,8709244,144674,1265,3379
1750,670668383499735048,8709246,144674,4862,10406
1751,704113298707505153,8709217,144674,572,1857
